DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,0.0,0.9,20.0,33.9,119.7,82.3,82.1,156.7,252.3,37.3,3.6,2019
BELLARY,0.0,1.9,1.4,16.8,25.2,54.9,65.7,80.2,235.5,223.0,10.7,6.4,2019
BELAGAVI,0.4,0.0,15.4,14.4,9.1,139.3,284.2,506.9,152.6,322.9,19.3,3.8,2019
BENGALURU RURAL,4.4,0.6,0.0,55.6,170.5,66.2,52.0,150.3,164.5,242.9,12.3,6.5,2019
BENGALURU URBAN,0.6,31.8,0.0,27.4,142.4,62.7,59.6,143.5,187.7,254.1,35.4,11.0,2019
BIDAR,4.2,0.0,0.0,10.2,5.0,123.4,105.7,230.3,190.1,168.9,47.4,0.2,2019
CHAMARAJANAGAR,0.3,6.8,0.0,20.7,131.4,47.0,30.4,164.0,141.8,186.3,50.4,12.9,2019
CHICKBALLAPUR,4.3,4.1,0.0,39.8,92.0,131.2,52.6,69.4,133.0,189.8,21.9,10.2,2019
CHIKKAMAGALURU,0.0,8.6,9.1,38.3,49.7,199.5,506.4,988.7,387.1,404.9,21.5,38.3,2019
CHITRADURGA,1.6,4.7,0.0,14.8,48.3,56.2,50.2,113.5,151.3,247.1,23.0,22.8,2019
DAKSHINA KANNADA,0.0,1.1,0.3,32.8,44.4,481.8,952.6,1399.2,680.2,500.1,84.7,34.6,2019
DAVANGERE,0.0,2.0,1.8,26.5,54.6,47.8,102.1,221.6,111.0,312.8,31.9,7.6,2019
DHARWAD,0.0,0.0,12.9,66.0,25.7,97.4,179.5,360.9,106.8,269.0,27.1,4.5,2019
GADAG,0.0,0.0,3.2,15.7,27.1,94.2,99.9,149.6,99.1,240.9,34.7,4.1,2019
HASSAN,0.0,8.0,2.7,41.9,113.5,91.6,126.6,435.7,178.4,263.3,20.9,25.2,2019
HAVERI,0.0,0.0,7.9,21.2,17.4,69.9,188.9,404.7,105.9,425.2,16.2,0.4,2019
KALABURGI,0.0,0.0,5.2,8.2,15.5,123.9,91.5,173.3,204.2,161.1,9.8,2.2,2019
KODAGU,0.0,1.7,8.0,68.6,63.6,287.9,568.5,1292.5,494.1,312.8,53.3,34.7,2019
KOLAR,6.7,46.2,0.0,75.5,96.6,68.9,36.1,82.7,127.0,165.9,19.9,18.0,2019
KOPPAL,2.6,0.3,0.0,29.8,17.9,96.0,63.8,79.9,183.8,240.8,8.2,2.3,2019
MANDYA,0.0,2.0,0.1,34.1,133.8,62.3,50.0,157.5,148.5,277.5,69.9,6.5,2019
MYSURU,0.0,11.9,2.3,53.2,150.8,62.4,87.4,342.6,120.9,180.2,56.3,18.0,2019
RAICHUR,2.0,0.0,0.0,12.1,19.2,78.2,82.1,54.5,226.9,92.7,4.8,1.3,2019
RAMANAGARA,1.0,5.9,0.0,44.6,103.4,99.5,42.6,153.5,141.3,245.8,33.1,5.5,2019
SHIVAMOGGA,0.0,0.4,4.2,20.7,5.0,185.6,580.1,1005.3,354.7,347.7,26.8,10.4,2019
TUMKUR,2.2,7.7,0.0,18.2,77.6,97.9,41.5,98.1,190.6,223.9,25.3,18.6,2019
UDUPI,0.0,0.0,2.0,8.6,3.8,720.0,1514.8,1499.7,808.1,623.4,51.1,13.7,2019
UTTARA KANNADA,0.0,0.0,5.6,22.7,12.1,574.5,1200.2,1321.4,556.6,492.4,33.6,1.1,2019
VIJAYAPURA,0.0,0.0,0.6,22.6,22.6,105.4,67.0,53.7,147.7,166.4,32.4,2.2,2019
YADGIR,0.0,0.0,0.0,15.7,21.9,82.5,138.2,70.7,181.1,67.4,11.2,0.9,2019
