DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,0.0,0.0,31.9,17.6,33.2,54.3,67.8,50,93.6,41.8,0.0,2012
BENGALURU RURAL,0.0,0.0,4.3,57.7,108.2,20.4,73.2,138.3,47.6,79.6,106.8,14.4,2012
BENGALURU URBAN,0.1,0.0,0.6,21.1,108.1,9.2,63.7,130.5,41.3,60.0,100.6,17.2,2012
BELAGAVI,0.0,0.0,0.0,53.2,13.0,54.7,113.6,119.6,70.5,92.4,40.0,4.0,2012
BELLARY,0.0,0.0,0.3,92.9,38.3,21.9,51.1,103.0,75.5,38.3,122.9,0.5,2012
BIDAR,0.6,0.3,0.0,29.7,14.2,149.4,183.0,126.2,127.8,101.5,29.8,0.0,2012
VIJAYAPURA,0.0,0.0,0.0,26.2,9.1,33.0,80.1,62.0,68.4,123.8,25.3,0.0,2012
CHAMARAJANAGAR,1.8,0.0,0.5,105.9,61.5,10.6,41.3,52.5,33.5,138.2,73.4,10.3,2012
CHICKBALLAPUR,0.2,0.0,1.3,72.3,69.3,25.4,66.2,124.8,72.9,73.3,113.7,8.7,2012
CHIKKAMAGALURU,0.0,0.3,0.7,170.9,39.8,196.4,314.1,539.7,187,57.6,101.7,1.0,2012
CHITRADURGA,0.0,0.0,0.0,131.4,44.3,20.3,40.7,139.9,61.6,35.0,102.0,0.4,2012
DAKSHINA KANNADA,0.0,0.3,1.1,113.0,37.4,749.9,680.8,1127.3,423.8,150.2,90.1,0.9,2012
DAVANGERE,0.0,0.0,0.0,122.1,21.2,35.7,59.0,118.1,65.5,29.1,137.8,0.3,2012
DHARWAD,0.0,0.0,0.0,45.8,22.6,50.8,79.1,81.7,72.1,65.3,49.1,7.6,2012
GADAG,0.0,0.0,0.0,54.3,46.0,28.9,41.5,78.3,50.5,41.7,150.1,0.0,2012
KALABURGI,0.2,0.0,0.0,48.5,15.7,97.5,143.8,135.8,98.9,108.7,18.6,0.0,2012
HASSAN,0.0,0.3,1.2,149.6,51.5,39.6,81.0,167.6,81.7,33.9,48.4,3.6,2012
HAVERI,0.0,0.0,0.0,124.6,42.6,46.2,83.6,91.4,67.5,53.2,108.4,0.0,2012
KODAGU,0.5,2.2,7.2,154.9,34.6,273.3,363.7,531.0,238.6,98.2,94.9,8.6,2012
KOLAR,0.0,0.0,4.7,65.4,81.3,35.2,129.7,103.8,50,120.8,101.3,25.6,2012
KOPPAL,0.0,0.0,0.0,51.6,12.7,22.6,56.9,79.8,58.5,67.7,104.2,0.1,2012
MANDYA,0.2,0.0,0.1,107.1,45.5,13.6,25.5,41.9,84.3,132.1,54.7,9.0,2012
MYSURU,0.7,2.3,0.0,123.0,53.2,35.5,38.8,76.6,64.9,88.5,38.1,4.9,2012
RAICHUR,0.0,0.0,0.0,31.2,9.3,24.9,87.3,77.1,89.9,45.2,46.9,0.1,2012
RAMANAGARA,0.0,0.0,0.0,65.8,60.0,10.0,76.1,85.3,42.9,89.0,96.7,14.3,2012
SHIVAMOGGA,0.0,0.0,1.0,112.5,20.1,284.8,466.1,664.4,223.4,54.6,85.3,0.8,2012
TUMKUR,0.0,0.0,3.1,117.5,37.7,17.2,40.6,146.3,72.1,38.0,85.7,1.7,2012
UDUPI,0.0,0.0,0.0,49.6,21.2,1103.3,945.1,1570.4,525.8,135.1,101.9,0.0,2012
UTTARA KANNADA,0.0,0.0,0.2,55.0,6.8,675.2,790.8,955.9,346.8,144.1,59.3,0.8,2012
YADGIR,0.0,0.0,0.0,31.3,13.7,68.4,143.0,82.6,89.7,86.8,19.5,0.0,2012
