DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,0.0,7.7,8.2,54.8,80.0,44.5,60.9,222.9,145.8,3.6,0.8,2017
BELLARY,0.0,0.0,21.9,5.8,55.6,58.1,50.8,129.9,238.8,168.5,0.0,0.0,2017
BELAGAVI,0.0,0.0,0.2,9.1,65.0,138.1,193.0,66.5,231.7,126.9,8.3,1.0,2017
BENGALURU RURAL,0.9,0.0,12.4,36.9,207.6,27.6,36.1,199.1,376.8,335.0,16.2,11.3,2017
BENGALURU URBAN,0.5,0.0,27.4,26.0,204.6,32.0,41.1,231.7,394.5,259.7,15.1,11.5,2017
BIDAR,0.0,0.0,35.4,1.5,10.6,212.0,75.9,221.8,132.1,136.8,29.0,0.0,2017
CHAMARAJANAGAR,0.0,0.0,26.0,34.6,206.6,12.3,26.1,146.8,235.0,180.5,35.0,21.6,2017
CHICKBALLAPUR,0.6,0.0,45.2,44.9,147.2,44.1,32.8,100.1,231.3,284.9,23.7,4.0,2017
CHIKKAMAGALURU,0.1,0.0,20.9,26.0,128.8,279.8,352.3,357.8,209.1,112.4,18.0,0.7,2017
CHITRADURGA,0.0,0.0,1.1,11.3,41.1,35.1,47.2,68.0,183.0,194.3,1.8,0.1,2017
DAKSHINA KANNADA,4.2,0.0,6.6,23.8,151.1,843.9,737.3,737.9,343.6,194.9,37.6,9.5,2017
DAVANGERE,0.0,0.0,2.0,11.2,76.4,53.0,71.6,99.6,233.0,193.6,1.0,0.0,2017
DHARWAD,0.0,0.0,4.0,10.3,78.0,58.1,109.8,43.7,182.1,87.6,7.0,0.1,2017
GADAG,0.0,0.0,2.6,5.7,73.0,34.3,41.7,74.4,194.1,121.6,8.7,2.1,2017
HASSAN,8.0,0.0,18.4,51.1,154.0,80.7,103.2,139.6,218.4,108.3,13.7,8.9,2017
HAVERI,0.0,0.0,1.4,43.7,73.0,54.6,124.3,70.3,217.0,169.4,4.5,0.0,2017
KALABURGI,0.0,0.0,16.6,9.2,25.7,229.5,57.5,137.7,191.7,148.1,0.3,0.0,2017
KODAGU,57.5,0.0,13.5,91.5,176.7,402.4,523.7,556.1,340.4,90.2,12.3,23.8,2017
KOLAR,11.0,0.0,24.9,32.6,136.8,93.9,37.3,137.2,276.5,365.7,44.0,8.4,2017
KOPPAL,0.0,0.0,26.3,13.3,37.0,134.7,38.0,124.4,234.1,165.7,0.0,0.0,2017
MANDYA,2.9,0.0,24.7,71.5,235.4,27.0,25.7,161.4,317.7,158.0,18.1,16.2,2017
MYSURU,8.8,0.0,20.2,91.8,216.8,44.2,62.0,155.3,285.0,106.8,3.6,29.4,2017
RAICHUR,0.0,0.0,17.3,1.7,31.7,89.7,18.2,144.0,264.6,200.3,0.0,0.0,2017
RAMANAGARA,1.9,0.0,30.3,39.0,283.9,32.5,23.9,212.8,405.0,229.4,24.7,13.0,2017
SHIVAMOGGA,0.3,0.0,5.3,10.6,107.7,355.0,418.4,303.5,176.7,80.5,14.0,0.7,2017
TUMKUR,4.2,0.0,9.2,22.4,134.2,40.5,33.0,90.7,237.7,235.2,11.9,1.2,2017
UDUPI,0.0,0.0,0.0,4.5,159.1,1192.4,1150.2,864.6,379.9,301.5,27.5,14.0,2017
UTTARA KANNADA,0.0,0.0,1.4,4.5,108.1,699.3,743.6,488.6,281.6,140.8,8.0,3.8,2017
VIJAYAPURA,0.0,0.0,6.0,7.2,40.3,120.7,33.6,104.1,173.0,152.9,0.0,4.1,2017
YADGIR,0.0,0.0,1.7,5.3,14.0,163.7,32.6,119.0,213.4,173.4,0.0,0.0,2017
