DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,1.9,0.4,39.2,81.0,74.9,77.6,107.0,57.1,90.4,0.0,0.0,2011
BENGALURU RURAL,0.0,2.5,2.7,88.7,97.5,47.4,106.1,230.6,61.9,130.2,26.7,5.2,2011
BENGALURU URBAN,0.0,18.2,2.0,157.8,139.1,54.5,92.6,237.5,89.3,170.8,64.8,5.9,2011
BELAGAVI,0.0,4.4,0.0,49.2,54.6,180.3,157.8,164.2,111.5,138.7,3.3,0.0,2011
BELLARY,0.0,0.5,1.2,44.4,65.7,75.8,95.0,87.2,25.9,69.0,8.9,0.0,2011
BIDAR,0.0,4.7,3.5,28.7,27.2,59.7,310.8,255.9,59.1,33.6,0.0,0.0,2011
VIJAYAPURA,0.0,0.0,0.2,31.1,59.5,59.0,83.3,95.6,39.4,45.2,0.0,0.0,2011
CHAMARAJANAGAR,0.3,23.2,28.7,124.1,94.6,61.5,47.0,92.9,26.6,136.0,116.6,7.3,2011
CHICKBALLAPUR,0.0,3.3,0.0,45.0,99.5,27.1,78.8,158.2,46.0,162.0,50.1,10.7,2011
CHIKKAMAGALURU,0.0,9.8,5.6,95.0,71.8,437.8,494.9,404.5,245.1,205.2,49.2,0.0,2011
CHITRADURGA,0.0,0.3,1.5,57.7,52.3,46.9,37.4,58.5,26.9,115.9,19.9,0.2,2011
DAKSHINA KANNADA,0.0,0.8,3.1,83.6,98.6,1049.0,1081.9,959.6,525.7,272.0,149.7,0.0,2011
DAVANGERE,0.0,0.0,0.5,49.9,74.7,96.3,79.9,90.4,47.3,92.0,9.7,0.0,2011
DHARWAD,0.0,7.7,0.3,66.2,45.7,153.1,94.8,135.9,64.2,167.1,3.7,0.0,2011
GADAG,0.0,0.6,2.0,63.2,50.8,55.3,53.4,104.2,29.1,68.7,0.6,0.0,2011
KALABURGI,1.6,13.9,2.0,38.0,30.2,72.7,201.6,210.3,51.2,60.5,1.1,0.0,2011
HASSAN,0.0,7.2,17.1,84.8,129.4,123.7,133.6,111.6,66.0,187.8,100.5,2.1,2011
HAVERI,0.0,1.5,0.0,109.9,54.1,128.4,135.0,117.6,79.8,132.2,17.2,0.0,2011
KODAGU,0.7,22.2,13.2,138.5,107.5,723.7,625.5,497.4,303.0,220.3,94.8,0.2,2011
KOLAR,0.0,21.1,0.0,88.0,69.3,45.2,120.0,133.9,50.4,146.5,48.6,11.4,2011
KOPPAL,0.0,0.0,0.5,33.7,56.3,52.0,125.6,122.4,40.7,40.4,2.6,0.0,2011
MANDYA,0.0,21.4,13.9,123.3,101.6,18.2,43.1,95.9,31.3,192.6,118.3,0.4,2011
MYSURU,0.6,15.5,24.4,138.8,120.8,70.9,88.9,111.7,69.8,204.8,87.6,0.6,2011
RAICHUR,0.0,0.0,0.8,34.0,29.0,68.1,103.5,124.4,44.7,37.2,1.1,0.0,2011
RAMANAGARA,0.0,15.5,13.4,121.0,146.4,48.5,128.4,113.2,58.7,202.6,61.7,2.2,2011
SHIVAMOGGA,0.0,2.0,1.6,55.1,42.1,549.0,659.8,522.1,365.2,149.3,47.6,0.0,2011
TUMKUR,0.0,2.7,1.7,91.2,103.1,56.8,65.3,86.9,41.5,133.7,31.4,1.6,2011
UDUPI,0.0,0.0,0.0,40.2,35.3,1443.5,1517.0,1157.8,811.3,205.2,126.1,0.6,2011
UTTARA KANNADA,0.0,0.5,0.0,65.3,24.6,948.3,1062.5,880.6,557.6,109.2,45.0,0.0,2011
YADGIR,0.0,3.9,0.1,34.5,47.4,50.8,174.1,162.3,49.5,52.5,0.1,0.0,2011
