DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.3,0.0,3.1,17.9,47.9,110.6,95.7,29.7,96.1,13.6,0.2,0.0,2016
BELLARY,9.4,0.0,0.0,4.2,67.9,128.5,68.4,24.7,47.9,11.4,4.2,4.6,2016
BELAGAVI,0.0,0.8,8.2,13.0,54.6,122.4,250.7,150.1,72.9,18.7,9.7,0.1,2016
BENGALURU RURAL,8.9,0.0,17.6,2.3,146.8,141.3,226.6,32.3,48.8,51.6,9.1,68.7,2016
BENGALURU URBAN,4.9,0.0,18.2,6.2,132.3,164.0,187.9,45.1,48.1,31.7,2.9,73.3,2016
BIDAR,0.8,1.7,23.2,20.6,60.8,263.7,231.1,90.0,472.1,137.8,0.0,0.2,2016
CHAMARAJANAGAR,5.5,0.9,2.2,8.2,102.5,62.9,67.2,10.4,20.2,13.0,3.9,23.9,2016
CHICKBALLAPUR,4.1,0.0,1.2,2.6,154.1,103.7,219.4,16.2,43.0,4.7,6.4,60.9,2016
CHIKKAMAGALURU,0.7,1.3,6.5,15.6,94.1,313.9,402.6,243.5,106.3,23.5,13.4,20.1,2016
CHITRADURGA,0.9,0.0,0.8,3.4,65.8,78.5,81.5,8.3,48.8,18.1,0.2,15.5,2016
DAKSHINA KANNADA,0.3,0.0,0.2,12.2,135.0,949.0,888.5,530.2,219.7,46.2,27.4,9.4,2016
DAVANGERE,0.4,0.0,0.0,0.4,76.5,147.6,126.2,35.1,85.4,15.7,0.0,7.2,2016
DHARWAD,0.3,0.1,3.2,20.8,51.5,121.1,119.3,78.1,45.5,27.2,3.5,0.3,2016
GADAG,0.4,0.0,1.3,21.7,73.4,99.5,71.6,44.0,77.0,3.2,0.0,4.1,2016
HASSAN,1.1,1.7,0.5,32.1,84.0,147.6,143.3,62.6,45.4,13.6,17.5,30.9,2016
HAVERI,0.3,0.4,3.5,9.4,76.9,163.7,126.2,68.0,46.5,8.4,15.5,2.0,2016
KALABURGI,0.2,0.8,9.5,10.6,47.0,173.1,259.2,52.0,301.0,36.2,1.4,0.6,2016
KODAGU,0.3,0.8,5.5,27.3,148.1,525.8,486.3,330.5,148.3,45.2,31.4,49.9,2016
KOLAR,9.1,0.0,3.7,0.0,150.1,120.8,183.1,28.4,25.0,14.4,2.7,95.3,2016
KOPPAL,0.5,0.0,0.0,0.0,61.0,147.0,64.7,38.1,71.4,27.7,0.0,0.6,2016
MANDYA,2.4,0.1,2.0,13.5,58.6,71.6,142.2,51.2,50.6,33.2,3.9,44.3,2016
MYSURU,4.3,1.8,11.6,19.4,95.5,119.2,106.7,24.1,17.0,14.7,4.5,31.0,2016
RAICHUR,1.2,0.0,0.0,2.4,33.7,125.8,119.0,53.3,213.6,16.2,0.0,2.0,2016
RAMANAGARA,2.2,0.0,0.2,3.8,113.4,72.9,184.6,70.7,29.2,49.9,7.6,57.5,2016
SHIVAMOGGA,0.8,0.0,0.0,1.9,57.9,399.2,440.9,313.1,157.3,38.1,32.6,3.9,2016
TUMKUR,6.1,0.0,2.0,1.7,82.9,123.5,158.8,24.8,41.5,14.0,2.6,34.8,2016
UDUPI,0.8,0.0,0.0,0.0,115.2,1326.2,958.3,593.1,294.5,83.8,12.8,15.1,2016
UTTARA KANNADA,0.4,0.0,0.3,1.1,67.8,842.8,635.9,401.0,204.9,89.8,8.9,0.7,2016
VIJAYAPURA,0.0,0.0,8.5,9.7,32.9,95.4,127.8,46.7,124.8,20.0,0.3,1.4,2016
YADGIR,0.0,0.0,0.5,1.0,23.3,96.0,168.8,66.8,193.5,18.2,2.2,2.1,2016
