DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.3,0.0,8.0,44.1,35.5,60.8,20.2,37.8,186.9,68.4,3.3,0.0,2015
BENGALURU RURAL,19.0,0.0,28.4,112.0,162.1,107.5,55.8,99.9,238.2,78.8,189.4,11.2,2015
BENGALURU URBAN,7.7,0.0,21.8,131.4,124.4,80.4,71.7,102.0,190.7,109.4,231.2,4.0,2015
BELAGAVI,0.5,0.0,31.7,23.4,82.7,164.8,56.8,57.9,73.5,81.6,6.4,1.2,2015
BELLARY,0.7,0.0,16.7,65.8,51.2,69.9,28.3,89.3,179.8,91.0,4.9,0.3,2015
BIDAR,8.4,0.0,52.7,88.6,26.8,88.1,61.8,99.7,179.0,51.9,0.0,2.6,2015
VIJAYAPURA,1.6,0.0,12.0,38.7,24.0,49.0,7.1,71.8,179.4,61.7,10.1,0.7,2015
CHAMARAJANAGAR,0.3,0.0,29.3,108.8,148.4,86.1,14.0,68.7,135.5,109.2,205.9,9.1,2015
CHICKBALLAPUR,6.2,0.0,39.6,81.8,123.7,50.0,66.3,178.4,159.3,105.7,298.0,6.8,2015
CHIKKAMAGALURU,0.0,0.4,36.9,95.1,143.2,479.6,291.1,224.7,164.9,139.1,111.4,5.6,2015
CHITRADURGA,0.4,0.0,18.1,34.4,106.6,74.7,42.5,84.8,152.6,120.3,54.6,1.2,2015
DAKSHINA KANNADA,1.6,1.8,33.5,96.3,188.8,732.3,1013.1,602.5,214.6,252.1,128.5,24.2,2015
DAVANGERE,0.8,0.0,6.8,30.7,130.0,93.3,79.2,85.4,149.2,89.4,41.6,0.7,2015
DHARWAD,0.1,0.0,65.5,30.6,76.9,161.3,49.3,45.8,65.6,93.3,11.0,0.8,2015
GADAG,0.2,0.0,43.8,19.2,46.2,88.6,10.0,88.5,100.8,84.1,7.5,1.8,2015
KALABURGI,5.3,0.0,35.5,94.1,16.5,58.7,61.8,117.2,169.6,32.2,0.5,3.9,2015
HASSAN,0.9,0.0,30.4,101.9,133.0,231.3,37.6,122.8,122.1,74.4,137.3,6.0,2015
HAVERI,0.0,0.0,20.0,19.6,109.2,172.3,64.8,87.6,73.0,99.0,19.8,0.3,2015
KODAGU,0.2,4.3,37.1,139.5,184.0,922.1,403.0,308.8,250.0,124.9,102.0,10.7,2015
KOLAR,5.6,0.0,48.1,81.3,107.1,69.6,51.0,103.2,135.8,101.2,374.9,6.0,2015
KOPPAL,0.5,0.0,14.4,68.9,40.4,61.0,12.7,98.7,187.8,35.6,3.8,0.0,2015
MANDYA,0.0,0.0,13.6,47.0,172.3,72.2,14.5,116.9,119.1,97.9,192.7,4.9,2015
MYSURU,2.4,0.1,32.9,99.1,167.6,182.4,30.6,113.8,116.6,93.9,132.8,9.0,2015
RAICHUR,2.8,0.0,15.5,69.4,28.7,25.1,33.0,60.0,270.4,57.9,3.1,2.3,2015
RAMANAGARA,1.5,0.0,17.2,139.5,161.3,80.2,28.8,136.0,226.8,81.1,196.5,2.9,2015
SHIVAMOGGA,0.0,0.0,25.6,47.4,129.7,568.0,294.1,241.6,129.0,89.7,64.9,0.4,2015
TUMKUR,0.6,0.0,11.4,88.0,80.5,75.5,34.4,112.6,218.2,136.9,178.2,3.0,2015
UDUPI,0.6,0.0,35.4,69.7,115.3,841.1,1284.2,684.4,373.6,214.9,195.3,4.9,2015
UTTARA KANNADA,1.7,0.0,27.4,22.8,94.4,664.5,482.1,423.4,257.1,105.0,57.1,0.2,2015
YADGIR,7.7,0.0,25.5,46.5,24.9,58.8,42.7,74.0,162.7,32.7,0.4,6.4,2015
